<; 19601840/1;20.00;kg;19.77;>o<;2503.07;kg/h;39.54;2;170715;20201101;>
<; 19601840/1;20.00;kg;20.26;>o<;4701.10;kg/h;59.80;3;170726;20201101;>
<; 19601840/1;7.30;kg;25.61;>o<;2448.29;kg/h;85.41;4;170750;20201101;>
<; 19601840/1;7.58;kg;7.01;>o<;3674.93;kg/h;92.42;5;170810;20201101;>
<; 19601840/1;10.00;kg;7.85;>o<;1003.02;kg/h;100.27;6;170839;20201101;>
<; 19601840/1;7.76;kg;10.61;>o<;0.00;kg/h;110.88;7;171555;20201101;>
<; 19601840/1;10.00;kg;9.23;>o<;2197.69;kg/h;120.11;8;171606;20201101;>
<; 19601840/1;25.00;kg;25.30;>o<;16.37;kg/h;145.41;9;171658;20201101;>
<; 19601840/1;25.00;kg;24.97;>o<;1550.46;kg/h;170.38;10;171709;20201101;>
<; 19601840/1;23.35;kg;26.38;>o<;6228.98;kg/h;196.76;11;171722;20201101;>
<; 19601840/1;23.35;kg;23.58;>o<;1070.88;kg/h;220.34;12;171758;20201101;>
<; 19601840/1;10.00;kg;10.79;>o<;0.00;kg/h;10.79;1;171859;20201101;>
<; 19601840/1;10.00;kg;11.62;>o<;0.00;kg/h;22.41;2;171915;20201101;>
<; 19601840/1;25.00;kg;12.49;>o<;2897.31;kg/h;34.90;3;171931;20201101;>
<; 19601840/1;19.64;kg;25.83;>o<;2934.67;kg/h;60.73;4;171948;20201101;>
<; 19601840/1;25.00;kg;26.19;>o<;0.00;kg/h;86.92;5;172051;20201101;>
<; 19601840/1;23.95;kg;25.91;>o<;3896.52;kg/h;112.83;6;172101;20201101;>
<; 19601840/1;23.95;kg;25.02;>o<;0.00;kg/h;137.85;7;172119;20201101;>
<; 19601840/1;25.00;kg;25.02;>o<;0.00;kg/h;162.87;8;172139;20201101;>
<; 19601840/1;10.00;kg;10.10;>o<;0.00;kg/h;172.97;9;211716;20201101;>
<; 19601840/1;10.00;kg;9.79;>o<;1324.75;kg/h;182.76;10;211746;20201101;>
